city;federal_district;region_fo;id
Боровск;Центральный;Калужская обл;db14bfff-fea7-469e-82f4-ccf4209d6753
Бородино;Сибирский;Красноярский край;78d7587f-ef26-48dc-81c6-d3ff445c9c8b
Братск;Сибирский;Иркутская обл;bdf6b629-b33e-4cfa-b4b2-7f693e1d821c
Бронницы;Центральный;Московская обл;582fae29-5955-4dba-9f77-ebf9a8e60827
Брянск;Центральный;Брянская обл;414b71cf-921e-4bfc-b6e0-f7395d16aaef
Бугульма;Приволжский;Татарстан Респ;2c857ac6-3fb8-421d-bfd4-deeffa96df8f
Бугуруслан;Приволжский;Оренбургская обл;680f6208-865b-43b4-ab24-1f42f51d2c33
Буденновск;Северо-Кавказский;Ставропольский край;bcca8fda-282d-4a90-9303-7a37a8197242
Бузулук;Приволжский;Оренбургская обл;653b316e-d0ca-414e-9211-03a96643e91b
Буинск;Приволжский;Татарстан Респ;58e5a396-77c4-4ab6-b235-afe364c0580f
Буй;Центральный;Костромская обл;9180ffd0-7f8d-4fdb-a284-583f27e378eb
Буйнакск;Северо-Кавказский;Дагестан Респ;fab58303-fb09-422e-aeb7-6fdb5dfe7941
Бутурлиновка;Центральный;Воронежская обл;b3c350d7-8c81-4016-b198-f197536e8321
Валдай;Северо-Западный;Новгородская обл;a9075bb6-f2b2-497f-86e1-fe3d9592c075
Валуйки;Центральный;Белгородская обл;fe7eea4a-875a-4235-aa61-81c2a37a0440
Велиж;Центральный;Смоленская обл;7e0ce062-6798-4091-9b28-d1c30d369a36
Великие Луки;Северо-Западный;Псковская обл;ca091eae-2c39-4730-b57d-b2fa570f71cb
Великий Новгород;Северо-Западный;Новгородская обл;8d0a05bf-3b8a-43e9-ac26-7ce61d7c4560
Великий Устюг;Северо-Западный;Вологодская обл;9db452cb-452a-4373-9610-a265b3b55653
Вельск;Северо-Западный;Архангельская обл;71051070-fce3-4a4d-a9d9-cd50f6dc6310
Венев;Центральный;Тульская обл;6fef4448-fd64-4669-8f49-866718b3ec5c
Верещагино;Приволжский;Пермский край;9bd0970e-7fbb-4a64-a625-af7670526dba
Верея;Центральный;Московская обл;abda86de-97b7-4098-9d09-e1835c6e8797
Верхнеуральск;Уральский;Челябинская обл;e4a3d40b-d937-4eef-900f-e16a2244a4c1
Верхний Тагил;Уральский;Свердловская обл;e76b32c8-a93e-4d3f-bae2-282dc900954a
Верхний Уфалей;Уральский;Челябинская обл;03aa453a-c7d6-4567-9a59-34a9e9cc1eac
Верхняя Пышма;Уральский;Свердловская обл;061cd8e0-b7bd-4a31-944e-a6e3da93631d
Верхняя Салда;Уральский;Свердловская обл;744462fb-a17d-43be-b71e-e7ecbd687561
Верхняя Тура;Уральский;Свердловская обл;4ffc4d96-d8fb-49c8-9e36-0989968d06e5
Верхотурье;Уральский;Свердловская обл;6a688b13-5231-4d5e-b5eb-ee14da03ac10
Верхоянск;Дальневосточный;Саха /Якутия/ Респ;86a078da-13f2-4c47-989a-cce0384a60d3
Весьегонск;Центральный;Тверская обл;1e4608bf-7b7d-41a8-b6e3-78010ee9ce80
Ветлуга;Приволжский;Нижегородская обл;aa1e00f2-a813-4f3d-b74a-9f9d73bfb1ff
Видное;Центральный;Московская обл;9a72b510-9413-41d8-b076-576fbfd78404
Вилюйск;Дальневосточный;Саха /Якутия/ Респ;52297f9a-df7f-4d97-9260-342aed1f0718
Вилючинск;Дальневосточный;Камчатский край;b75a9701-5cd4-4623-99d5-4fa7463ceb47
Вихоревка;Сибирский;Иркутская обл;04bc8726-0523-4aeb-8450-fe07ff425372
Вичуга;Центральный;Ивановская обл;3d518b4e-86b2-48d5-bcf3-48f107165918
Владивосток;Дальневосточный;Приморский край;7b6de6a5-86d0-4735-b11a-499081111af8
Владикавказ;Северо-Кавказский;Северная Осетия - Алания Респ;20ea2341-4f49-4c5c-a9dc-a54688c8cc61
Владимир;Центральный;Владимирская обл;f66a00e6-179e-4de9-8ecb-78b0277c9f10
Волгоград;Южный;Волгоградская обл;a52b7389-0cfe-46fb-ae15-298652a64cf8
Волгодонск;Южный;Ростовская обл;1a453dcd-8885-4999-923b-1bbaa5a1cec4
Волгореченск;Центральный;Костромская обл;40eb94b1-c51e-455c-92af-7dafaaa92caa
Волжск;Приволжский;Марий Эл Респ;f183b079-b65f-4781-9b79-310ba29b724d
Волжский;Южный;Волгоградская обл;bc5ed788-84c8-493e-9598-7a15a9f1e4c1
Вологда;Северо-Западный;Вологодская обл;023484a5-f98d-4849-82e1-b7e0444b54ef
Володарск;Приволжский;Нижегородская обл;b92c9e2b-161d-4043-87ef-ed255529f7c6
Волоколамск;Центральный;Московская обл;ca8fb626-709c-4851-a8d6-cbfd592c3bf8
Волосово;Северо-Западный;Ленинградская обл;eb8a9d09-6728-43fe-b3d1-21a2c804b40c
Волхов;Северо-Западный;Ленинградская обл;d77089df-c8ed-464d-a26b-69ce42383a0f
Волчанск;Уральский;Свердловская обл;68edcd30-0b57-4699-a196-343b80d23223
Вольск;Приволжский;Саратовская обл;83f29047-8dd9-411d-ac4b-c5811ea815f1
Воркута;Северо-Западный;Коми Респ;e0bf9ea3-7cbf-4b13-95f1-32c3ee9b3ae5
Воронеж;Центральный;Воронежская обл;5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1
